YearEnd,LocationDesc,Question,Data_Value,Age_years,GeoLocation
2011,Alabama,Percent of adults aged 18 years and older who have obesity,35.2,25 - 34,"(32.840571122, -86.631860762)"
2015,Guam,Percent of adults aged 18 years and older who have obesity,33.7,55 - 64,"(13.444304, 144.793731)"
2015,Guam,Percent of adults aged 18 years and older who have obesity,25.0,18 - 24,"(13.444304, 144.793731)"
2015,South Dakota,Percent of adults aged 18 years and older who have obesity,35.8,35 - 44,"(44.353130053, -100.373530637)"
2013,Puerto Rico,Percent of adults aged 18 years and older who have obesity,26.5,25 - 34,"(18.220833, -66.590149)"
2019,District of Columbia,Percent of adults aged 18 years and older who have obesity,25.9,65 or older,"(38.89037138500049, -77.03196112699965)"
2016,Wyoming,Percent of adults aged 18 years and older who have obesity,37.0,35 - 44,"(43.235541343, -108.109830353)"
2016,Colorado,Percent of adults aged 18 years and older who have obesity,26.9,45 - 54,"(38.843840757, -106.133610921)"
2016,Virgin Islands,Percent of adults aged 18 years and older who have obesity,41.4,45 - 54,"(18.335765, -64.896335)"
2016,Kansas,Percent of adults aged 18 years and older who have obesity,36.0,35 - 44,"(38.3477403, -98.200781227)"
2016,Texas,Percent of adults aged 18 years and older who have obesity,30.7,25 - 34,"(31.827240407, -99.426770206)"
2016,Illinois,Percent of adults aged 18 years and older who have obesity,30.9,65 or older,"(40.485010283, -88.997710178)"
2017,Guam,Percent of adults aged 18 years and older who have obesity,38.1,55 - 64,"(13.444304, 144.793731)"
2016,Arizona,Percent of adults aged 18 years and older who have obesity,36.4,45 - 54,"(34.86597028, -111.763811277)"
2016,Mississippi,Percent of adults aged 18 years and older who have obesity,39.8,55 - 64,"(32.745510099, -89.538030825)"
2015,Puerto Rico,Percent of adults aged 18 years and older who have obesity,23.2,65 or older,"(18.220833, -66.590149)"
2016,Ohio,Percent of adults aged 18 years and older who have obesity,29.7,25 - 34,"(40.060210141, -82.404260056)"
2016,Iowa,Percent of adults aged 18 years and older who have obesity,18.4,18 - 24,"(42.469400913, -93.816490556)"
2016,Virginia,Percent of adults aged 18 years and older who have obesity,25.7,25 - 34,"(37.542680674, -78.457890463)"
2017,Connecticut,Percent of adults aged 18 years and older who have obesity,26.4,65 or older,"(41.56266102, -72.649840952)"
2015,Guam,Percent of adults aged 18 years and older who have obesity,39.9,45 - 54,"(13.444304, 144.793731)"
2013,Puerto Rico,Percent of adults aged 18 years and older who have obesity,33.8,35 - 44,"(18.220833, -66.590149)"
2014,Guam,Percent of adults aged 18 years and older who have obesity,34.6,25 - 34,"(13.444304, 144.793731)"
2016,South Carolina,Percent of adults aged 18 years and older who have obesity,28.7,65 or older,"(33.998821303, -81.045371207)"
2016,Illinois,Percent of adults aged 18 years and older who have obesity,27.6,25 - 34,"(40.485010283, -88.997710178)"
2020,North Carolina,Percent of adults aged 18 years and older who have obesity,40.8,45 - 54,"(35.466220975000454, -79.15925046299964)"
2020,Wyoming,Percent of adults aged 18 years and older who have obesity,39.9,45 - 54,"(43.23554134300048, -108.10983035299967)"
2020,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.4,65 or older,"(41.70828019300046, -71.52247031399963)"
2018,North Carolina,Percent of adults aged 18 years and older who have obesity,44.5,45 - 54,"(35.466220975000454, -79.15925046299964)"
2018,Wyoming,Percent of adults aged 18 years and older who have obesity,39.9,45 - 54,"(43.23554134300048, -108.10983035299967)"
2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.6,65 or older,"(41.70828019300046, -71.52247031399963)"
2018,Arizona,Percent of adults aged 18 years and older who have obesity,30.4,35 - 44,"(34.865970280000454, -111.76381127699972)"
2018,New York,Percent of adults aged 18 years and older who have obesity,31.0,55 - 64,"(42.82700103200045, -75.54397042699964)"
2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,26.9,35 - 44,"(41.70828019300046, -71.52247031399963)"
2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,27.5,35 - 44,"(42.27687047000046, -72.08269067499964)"
2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.4,45 - 54,"(42.27687047000046, -72.08269067499964)"
2018,Mississippi,Percent of adults aged 18 years and older who have obesity,46.3,45 - 54,"(32.745510099000455, -89.53803082499968)"
2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,18.8,18 - 24,"(18.220833, -66.590149)"
